coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AideaPersonneExterieure_Oui	0.3992	0.4538	0.0136	0	0.0022	
NbLogement_1	0.0549	0.0985	0.0454	0.0094	0.0042	
NbLogement_2	0.0517	0.0646	0.0405	3e-04	0.0197	
NbLogement_3	0.0035	0.009	0.0511	0.1063	0.2516	
NbLogement_4	0.0534	0.1268	0.0187	0.0111	0.4211	
NbLogement_5	0.0104	0.0166	0.1308	0.5719	0.045	
NbLogement_6	1e-04	0.0198	0.3702	0.1228	0.0172	
AidDevoirAssoNon	0.0041	0.0128	0.0608	0.0063	0.0041	
AideDevoirAsso.NA	0.0062	0.0038	0.137	0.0307	0.0062	
AideDevoirAssoOui	0.0107	0.009	0.0106	1e-04	0.0106	
35h à 50h	4e-04	2e-04	0	0	6e-04	
de 50h à 60h	3e-04	2e-04	0	3e-04	0.0011	
+ de 60h	4e-04	4e-04	0	6e-04	2e-04	
Moins de 35h	1e-04	0	1e-04	0	2e-04	
NbHeuresTravail.NA	6e-04	7e-04	0	3e-04	0.0018	

v.test
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecuesNon	15.521	-9.6746	7.8297	1.9339	-3.2347	
AidesRecuesOui	-15.521	9.6746	-7.8297	-1.9339	3.2347	
AideAdminFamilleNon	14.4384	-10.8207	-42.8873	-12.8469	9.3566	
AideAdminFamilleOui	-14.4384	10.8207	42.8873	12.8469	-9.3566	
EmpruntFamilleNon	0.15	-2.5723	-5.2781	6.4969	-6.0531	
EmpruntFamilleOui	-0.15	2.5723	5.2781	-6.4969	6.0531	
GardeFamilleNon	-60.4575	61.8525	10.3915	0.4794	-7.0074	
GardeFamilleOui	60.4575	-61.8525	-10.3915	-0.4794	7.0074	
CatuionNonFamilleOuAmis	16.9894	2.9039	-11.3594	2.2486	-4.2826	
CautionFamilleAutreOuAmis	2.3856	15.1079	-0.4751	-1.2557	-3.2898	
Caution.NA	-0.9018	-16.3846	24.1225	1.535	4.5914	
CautionParentsouEnfants	-18.4877	12.3752	-24.9513	-3.9823	-0.3513	
MoyenEmploiAutre	20.0767	-4.6293	-32.6569	-1.0847	-0.8081	
MoyenEmploiDemarchePersos	11.347	-7.7113	-27.3867	-2.4605	-3.5491	
MoyenEmploiFamille	2.7304	-10.2807	0.5735	2.1421	-3.9526	
MoyenEmploi.NA	-39.2896	16.9765	52.0096	-4.2814	16.668	
MoyenEmploiRelationsPersos	16.6193	-3.2128	-1.9938	9.2446	-16.4959	
EntretienConjointAbsent	-46.4289	29.7585	-20.3285	-12.8348	25.1301	
EntretienConjointPresent	46.4289	-29.7585	20.3285	12.8348	-25.1301	
EntretienEnfantsAbsents	-54.3301	30.5384	-48.9197	-9.4154	6.6249	
EntretienEnfantsPresents	54.3301	-30.5384	48.9197	9.4154	-6.6249	
EntretienParentsAbsents	47.06	-11.9312	-28.6435	-0.1602	-16.3393	
EntretienParentsPresents	-47.06	11.9312	28.6435	0.1602	16.3393	
EntretienAutreFamilleAbsents	19.9053	-10.6933	-37.7999	-6.3703	-8.1211	
EntretienAutreFamillePresents	-19.9053	10.6933	37.7999	6.3703	8.1211	
PbArgentFamilleAv18Ans_Non	-16.1569	-12.2298	-10.3979	-6.8207	8.4076	
PbArgentFamilleAv18Ans_Nspp	-1.2543	-0.0283	3.0733	3.2165	-3.4259	
PbArgentFamilleAv18Ans_Oui	16.5143	12.3307	9.9136	6.282	-7.8428	
Jamais	-28.5213	-29.1073	-27.6931	8.261	-17.423	
Parfois	-4.2937	-6.2215	3.2864	-9.2232	8.0912	
Souvent	31.1196	33.4406	23.4009	0.5541	9.2166	
-moitié	-0.4851	-1.2479	-5.5902	-4.0789	-4.5655	
+moitié	-3.0127	-15.0643	-2.4806	6.7294	1.3722	
moit-moit	3.8221	18.1785	7.2565	-4.4499	2.0487	
Enfants_1	34.9141	-25.0934	-32.7134	45.0469	-75.9403	
Enfants_2	56.6979	-60.6461	-16.3773	9.4577	90.6168	
Enfants_3	33.3397	-21.9527	52.5885	-105.7653	-36.2222	
Enfants_4	20.7434	11.2471	73.9121	57.3678	9.688	
Enfants.NA	-95.3881	73.9396	-15.1817	-4.884	5.2618	
AppartenanceAsociationPaysOrigine_Membre	23.522	27.1584	17.7194	-2.2324	18.297	
AppartenanceAsociationPaysOrigine.NA	-18.1587	-35.38	5.3425	29.7157	-50.7814	
AppartenanceAsociationPaysOrigine_PasMembre	7.0827	23.818	-15.3043	-31.0458	45.2842	
Emprunteur	55.8833	-27.6667	-38.2046	-7.7841	-2.6961	
NonEmprunteur	-55.8833	27.6667	38.2046	7.7841	2.6961	
AppartenancAssociationSolidarite_Membre	24.0385	40.1332	-1.6671	-16.0169	40.4409	
AppartenancAssociationSolidarite_PasMembre	-24.0385	-40.1332	1.6671	16.0169	-40.4409	
AideVersEtranger.NA	-93.1998	-99.3751	17.2339	0.6557	6.9709	
AideVersEtranger_Non	49.8616	63.7098	-34.6996	-3.5273	-7.4736	
AideVersEtranger_Oui	76.1461	70.7552	11.1378	2.6082	-1.9896	
AmisMemeOrigine.NA	13.2951	-14.0818	11.3967	9.5112	-20.5665	
-moitie	-14.5574	17.0891	-26.0358	-23.5901	29.2683	
+moitie	2.9474	-8.882	14.7082	16.4374	-18.307	
moitie-moitie	6.0085	2.4721	10.6657	2.6877	1.5657	
NSP	-5.6507	-4.0012	-10.8869	-0.0553	1.4584	
AideaPersonneExterieure_Non	-93.1998	-99.3751	17.2339	0.6557	6.9709	
AideaPersonneExterieure_Oui	93.1998	99.3751	-17.2339	-0.6557	-6.9709	
NbLogement_1	-34.5502	46.2997	-31.4245	-14.334	9.525	
NbLogement_2	-33.5391	37.4861	-29.6721	2.7273	-20.7245	
NbLogement_3	8.6757	-13.9956	-33.3604	48.0955	-73.985	
NbLogement_4	34.0879	-52.5223	-20.1537	15.5234	95.7233	
NbLogement_5	15.0688	-19.0224	53.3592	-111.5515	-31.298	
NbLogement_6	1.3998	20.7738	89.7482	51.6862	19.3397	
AidDevoirAssoNon	9.4788	-16.7166	-36.3715	-11.7395	-9.4641	
AideDevoirAsso.NA	11.6507	9.0431	54.5926	25.8559	-11.5859	
AideDevoirAssoOui	-15.2517	13.9926	15.2164	1.3197	15.2077	
35h à 50h	2.8071	1.8197	-0.5064	0.9099	3.6836	
de 50h à 60h	2.6717	2.2267	0.2139	-2.4589	4.8171	
+ de 60h	3.023	3.1243	0.1967	-3.6013	2.0435	
Moins de 35h	-1.2057	0.5763	-1.058	-0.8985	2.2341	
