coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
GardeFamilleNon	-6.0851	-11.2839	2.4165	72.018	-39.742	
GardeFamilleOui	6.0851	11.2839	-2.4165	-72.018	39.742	
PbArgentFamilleAv18Ans_Non	-22.7559	-10.0932	-40.3598	-11.8173	14.1906	
PbArgentFamilleAv18Ans_Nspp	-2.3968	-0.9871	6.8136	2.4384	-0.5925	
PbArgentFamilleAv18Ans_Oui	23.3753	10.3539	39.4216	11.461	-14.1927	
CFEJamais	-40.0299	15.6521	32.6074	-50.3911	-7.9794	
CFEParfois	-3.3698	8.817	-15.4019	-2.3281	-19.1352	
CFESouvent	41.2485	-22.9836	-17.012	50.1755	25.0996	
+ dune fois	-8.1048	13.4862	26.9326	-50.1487	59.7109	
pas du tout	11.5322	-12.7796	-24.0409	55.2389	-50.8301	
une fois	-2.8842	-3.2969	-8.4541	2.5112	-21.8628	
AppartenanceAsociationPaysOrigine_Membre	35.3344	-9.9524	-20.4334	25.2182	79.641	
AppartenanceAsociationPaysOrigine.NA	-39.6825	18.103	86.5498	-9.0589	-24.2902	
AppartenanceAsociationPaysOrigine_PasMembre	24.0997	-14.3031	-82.9492	-3.7013	-16.3747	
Emprunteur	19.4873	-7.9207	-13.4523	-69.5624	23.3196	
NonEmprunteur	-19.4873	7.9207	13.4523	69.5624	-23.3196	
AppartenancAssociationSolidarite_Membre	44.2558	-21.0181	-64.0106	15.9007	50.4211	
AppartenancAssociationSolidarite_PasMembre	-44.2558	21.0181	64.0106	-15.9007	-50.4211	
AideVersEtranger.NA	-118.8429	67.678	-39.0095	20.7233	21.0637	
AideVersEtranger_Non	70.371	-41.5154	33.6149	-55.8049	-45.6317	
AideVersEtranger_Oui	90.3762	-50.0408	19.2573	27.328	16.8008	
AmisMemeOrigine.NA	-7.3553	-4.2797	32.1385	23.2254	-40.3306	
-moitie	9.2729	0.0934	-67.8734	-15.3194	-50.2747	
+moitie	-5.8345	3.5385	38.6525	2.7453	68.4877	
moitie-moitie	4.5537	-0.2618	13.6228	0.737	21.3155	
NSP	-7.7971	-0.8663	1.1484	-12.1398	-4.1701	
AideaPersonneExterieure_Non	-118.8429	67.678	-39.0095	20.7233	21.0637	
AideaPersonneExterieure_Oui	118.8429	-67.678	39.0095	-20.7233	-21.0637	
EmpruntNon	-75.5913	-122.2716	3.0434	2.489	6.0889	
EmpruntOui	75.5913	122.2716	-3.0434	-2.489	-6.0889	
Aucun_dip	-4.1857	8.1944	47.9545	34.6617	-0.5176	
